"Source:","C:\Users\alexj\Documents\KiCad\ProyectoR\ProyectoR.kicad_sch"
"Date:","9/2/2023 17:46:33"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","16"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"","","J1","Conn_01x06","Connector_Generic:Conn_01x06","","~"
"","","J2","Conn_01x04","Connector_Generic:Conn_01x04","","~"
"","","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q2","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q3","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q4","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","R1","R","Device:R","","~"
"","","R2","R","Device:R","","~"
"","","R3","R","Device:R","","~"
"","","R4","R_Photo","Device:R_Photo","","~"
"","","R5","R","Device:R","","~"
"","","SW1","SW_DIP_x01","Switch:SW_DIP_x01","","~"
"","","SW2","SW_DIP_x01","Switch:SW_DIP_x01","","~"
"","","U1","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf"
"","","U2","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"2","1","J1","Conn_01x06","Connector_Generic:Conn_01x06","","~"
"3","1","J2","Conn_01x04","Connector_Generic:Conn_01x04","","~"
"4","4","Q1, Q2, Q3, Q4","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"5","4","R1, R2, R3, R5","R","Device:R","","~"
"6","1","R4","R_Photo","Device:R_Photo","","~"
"7","2","SW1, SW2","SW_DIP_x01","Switch:SW_DIP_x01","","~"
"8","1","U1","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf"
"9","1","U2","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH",""
